id,reporting_year,measurement_year,total_emissions,total_scope_1_emissions,total_scope_2_emissions,emission_status_id,city_id
1,2016,2009,13722942.0,13634331.0,88611.0,4,35894
2,2016,2013,14889318.0,,5302028.0,3,35898
3,2016,2014,4437665.0,,,1,54128
4,2016,2014,4794708.0,2890572.0,1904136.0,2,35879
5,2016,2014,3070000.0,2771000.0,299000.0,2,50558
6,2016,2013,499573.0,456843.0,45730.0,3,54520
7,2016,2015,10983600.0,5487400.0,5496200.0,3,43910
8,2016,2010,3352154.0,,,6,50220
9,2016,2015,69794140.0,57719912.0,12074228.0,2,44182
10,2016,2010,33500000.0,,,4,3203
11,2016,2015,4372420.0,785326.0,3587094.0,3,31109
12,2016,2016,1900.0,,,6,54408
13,2016,2013,3152498.0,1470127.0,1682371.0,3,49334
14,2016,2014,29657130.0,11002925.0,18654205.0,2,10495
15,2016,2014,49385508.0,20995619.0,16888770.0,2,3417
16,2016,2014,11721774.0,7930452.0,3791322.0,3,31185
17,2016,2013,18320966.0,16151019.0,2169947.0,3,31117
18,2016,2013,5199.7,,,3,1850
19,2016,2013,2128000.0,,,3,31052
20,2016,2013,3036279.0,2686488.0,349791.0,2,31156
21,2016,2012,22643846.0,9783734.0,12860112.0,3,35858
22,2016,2014,16576702.0,10215142.0,6361560.0,2,43912
23,2016,2013,7386407.0,3132786.0,4253621.0,2,31090
24,2016,2012,885878.0,,,3,31151
25,2016,2014,2193642.0,2193642.0,,2,54329
26,2016,2013,1107500.0,421200.0,686300.0,4,50154
27,2016,2014,6066182.0,3603270.0,2462912.0,3,35268
28,2016,2014,1211617.47,621293.07,590324.4,4,54113
29,2016,2015,31512000.0,30011000.0,1501000.0,2,31179
30,2016,2013,3241713.0,2804787.0,436925.0,2,35848
31,2016,2014,58755764.13,43502687.67,15253076.46,4,31112
32,2016,2014,17233924.0,6149934.0,11083990.0,2,56276
33,2016,2012,1426533.8,1152922.4,273611.4,1,50364
34,2016,2013,23120027.8,23120027.8,8306669.0,1,31180
35,2016,2011,1660370.0,462586.0,1197784.0,2,54354
36,2016,2016,2150000.0,,,6,62180
37,2016,2007,1727860.0,553900.0,1173960.0,3,54075
38,2016,2012,3999874.0,2061435.0,1938439.0,3,54048
39,2016,2015,1971679.0,,,3,58310
40,2016,2010,7579144.0,,,6,35853
41,2016,2013,2733664.0,578560.0,368019.0,2,50560
42,2016,2014,27780000.0,,,3,31166
43,2016,2013,1450465.0,1305206.0,145259.0,2,50384
44,2016,2012,19212870.06,12397594.06,6815276.0,3,31181
45,2016,2011,879900.0,,,3,31165
46,2016,2012,1883.0,,,1,35872
47,2016,2012,773983.0,7739830000.0,,2,35995
48,2016,2005,501147.0,165762.0,234882.0,1,58628
49,2016,2013,1994560.0,1994560.0,,3,36154
50,2016,2009,12624227.0,,,4,35884
51,2016,2010,265.85,128.0,138.0,4,50673
52,2016,2014,6787374.0,5429899.0,1357475.0,1,36045
53,2016,2012,15432105.0,12378734.0,15432105.0,1,31170
54,2016,2015,4471000.0,,2310000.0,3,31148
55,2016,2013,40190000.0,20620000.0,19570000.0,2,3422
56,2016,2010,17229388.0,119881.0,17109507.0,3,35860
57,2016,2014,1785603.75,,613341.01,3,46473
58,2016,2014,297000.0,173000.0,124000.0,3,58489
59,2016,2010,1217091.0,369654.0,553094.0,5,54102
60,2016,2013,625391.59,589055.31,36336.28,1,54650
61,2016,2013,1340422.0,1094422.0,246000.0,2,14088
62,2016,2005,1418344.0,955471.0,462872.0,4,36254
63,2016,2010,196840.0,,,1,59669
64,2016,2008,538836.0,6354.0,,2,60602
65,2016,2012,5222000.0,,72000.0,3,16581
66,2016,2013,47612664.0,25082520.0,22530144.0,6,31187
67,2016,2014,23655110.96,16842493.45,6812617.51,3,31172
68,2016,2014,2789724.0,2096206.0,2789724.0,3,8242
69,2016,2012,3708292.0,3708292.0,,1,31146
70,2016,2012,20268045.0,16171534.0,4096511.0,2,31176
71,2016,2011,2942349.0,,,1,31313
72,2016,2012,1400000.0,,,6,54443
73,2016,2009,2270524.7,,,3,36274
74,2016,2013,258882.0,,,6,55325
75,2016,2014,14957404.0,,8463811.0,2,31446
76,2016,2015,152631.0,152631.0,,3,54119
77,2016,2014,1822367.0,,,4,35449
78,2016,2015,4003900.0,1757500.0,2246400.0,2,43928
79,2016,2014,9024235.0,3548215.0,5476020.0,2,1093
80,2016,2007,1582605.13,,,3,36286
81,2016,2014,2442602.0,2389748.0,52855.0,3,20113
82,2016,2010,405385.3,368077.0,37305.0,3,2430
83,2016,2014,24716713.0,9068358.0,15661031.0,3,31115
84,2016,2014,3496156.0,,,3,35886
85,2016,2010,348347.0,288673.0,,3,59552
86,2016,2014,1934361.0,1023910.0,910451.0,3,36159
87,2016,2014,290849.0,203441.0,87408.0,2,50679
88,2016,2011,1810370.0,,,5,36262
89,2016,2013,2160364.98,76770.36,1434209.86,1,43907
90,2016,2010,615224.0,193345.0,421879.0,3,58485
91,2016,2014,2079758.0,1829808.0,904042.0,1,43920
92,2016,2014,11419.0,11115.0,307.46,3,36263
93,2016,2013,17755.0,,,3,35868
94,2016,2014,19667128.0,15561157.0,4105971.0,3,31155
95,2016,2013,782650.0,350775.0,431850.0,3,54521
96,2016,2009,1020000.0,,,3,46514
97,2016,2014,70125000.0,27611000.0,42515000.0,4,31111
98,2016,2015,12359324.53,10679585.14,1094791.71,3,31154
99,2016,2015,1320629.99,1096122.89,224507.1,2,50369
100,2016,2015,15236693.0,4648959.0,10589996.0,2,49360
101,2016,2014,8942000.0,4557000.0,4385000.0,3,32550
102,2016,2013,1298620.0,590282.0,699338.0,3,54111
103,2016,2015,1450358.0,,,3,31009
104,2016,2010,10008879.0,,,3,31110
105,2016,2011,12275845.0,12275845.0,,3,49335
106,2016,2010,2016320.0,,,6,42123
107,2016,1990,615452.0,,,6,36495
108,2016,2012,2511000.0,,,3,3429
109,2016,2013,96508.0,49910.0,46598.0,3,55442
110,2016,2010,11889595.0,7750563.0,4139032.0,1,35859
111,2016,2012,1113971.0,,133680.5,5,50383
112,2016,2015,18207232.0,10448332.0,7758900.0,3,35475
113,2016,2012,1721996.0,741287.0,980709.0,5,54104
114,2016,1998,5257325.0,5167453.0,89872.0,3,50579
115,2016,2010,565382.0,565382.0,266221.0,3,50680
116,2016,2015,3556529.0,359064.0,3197465.0,3,31114
117,2016,2015,2480700.0,1257464.0,1223236.0,3,55799
118,2016,2012,5381687.0,4186111.0,1131352.0,5,31182
119,2016,2005,1250000.0,1106250.0,137500.0,3,54070
120,2016,2013,10472155.0,9133523.0,1338632.0,2,43932
121,2016,2012,16469283.0,6304593.0,10164690.0,3,50555
122,2016,2015,57243.0,47552.0,9691.0,3,55616
123,2016,2014,8703679.12,2481945.42,6153317.9,3,35393
124,2016,2013,5976779.0,3728678.0,2248100.0,6,31173
125,2016,2010,1248650.0,982940.0,265710.0,3,52893
126,2016,2013,346630.0,346630.0,,2,54459
127,2016,2012,42700000.0,,,2,31169
128,2016,2015,17774776.0,14364103.0,3410672.0,2,31159
129,2016,2012,383747.15,,,5,58621
130,2016,2013,685460.0,922120.0,123680.0,3,54402
131,2016,2013,21950000.0,12572000.0,9378000.0,2,31113
132,2016,2013,13420000.0,7690000.0,5730000.0,3,35902
133,2016,2014,8675437.0,,,6,49386
134,2016,2013,486541.0,63724.0,422817.0,3,32480
135,2016,2011,758627.0,,,1,44132
136,2016,2010,688706.0,,,2,49787
137,2016,2012,10329322.0,,4809082.0,4,35862
138,2016,2014,5195663.0,3359242.0,1836421.0,3,31175
139,2016,2013,5775155.0,3670140.0,2710235.0,2,44185
140,2016,2013,30073752.26,2686286.75,14505921.17,2,54395
141,2016,2015,225.0,,,3,58609
142,2016,2015,365763.0,37918.0,214442.0,1,62864
143,2016,2013,29024807.0,,9429688.0,3,10894
144,2016,2014,6974544.0,4610317.0,2364227.0,3,14874
145,2016,2014,22587081.0,11681810.0,10905271.0,2,35863
146,2016,2015,548195.98,497.63,,1,54610
147,2016,2014,4558575.0,,2138684.0,1,13067
148,2016,2010,4174608.0,,,6,36037
149,2016,2013,15734762.0,7214051.0,8520711.0,6,43905
150,2016,2014,3609546.0,1203108.0,1228219.0,1,54085
151,2016,2011,43442.0,17876.0,25566.0,3,60656
152,2016,2008,583213.0,,,1,58357
153,2016,2013,4803046.0,2073556.0,2729490.0,3,35877
154,2016,2013,401079.0,138542.0,262537.0,1,58627
155,2016,2007,402364.0,,,1,57616
156,2016,2011,705443.0,302510.0,241253.0,3,54110
157,2016,2013,13700000.0,6439000.0,7261000.0,3,1184
158,2016,2014,586308.0,461798.0,124510.0,1,58531
159,2016,2012,6659101.0,2571089.0,4088012.0,3,49338
160,2016,2013,6916000.0,114000.0,6802000.0,6,55179
161,2016,2010,457288.0,344419.0,107239.0,6,59996
162,2016,2014,7215407.0,3322603.0,3892804.0,1,54337
163,2016,2016,148025.0,,,3,59595
164,2016,2006,331717.0,245483.0,86235.0,6,50672
165,2016,2009,260331.0,,,6,19233
166,2016,2013,10257048.0,6795577.0,3250803.0,3,31171
167,2016,2014,417000.0,289000.0,128000.0,3,58610
168,2016,2013,8180556.68,6911264.55,1269292.14,4,61753
169,2016,2015,1084979.0,621179.0,171780.0,3,43937
170,2016,2015,1048704.0,861854.0,186850.0,3,54078
171,2016,2013,3698964.0,3242166.0,366395.0,6,42120
172,2016,2014,394341.0,341208.0,136413.0,3,52897
173,2016,2015,4530469.0,1973070.0,2557399.0,3,54108
174,2016,2014,2475703.0,2475703.0,6709.0,6,50578
175,2016,2013,4604805.0,37046834611.0,14354301004.0,2,57347
176,2016,2012,126611.0,71580.0,3334.0,3,59612
177,2016,2013,613588.0,438005.0,175583.0,4,36518
178,2016,2013,2829128.0,,,6,35880
179,2016,2014,167728.0,127138.0,40590.0,3,61790
180,2016,2013,1719600.0,,,3,54529
181,2016,2015,443.79,404.65,39.14,3,35755
