id,Baseline_year,target_year,baseline_emissions,percentage_reduction_target,city_id,sector_id
1,2010,,6136.0,2010,58796,1
2,2005,2020.0,2913434.0,2005,36158,1
3,2009,2020.0,268000.0,2009,62855,1
4,2009,2020.0,3804493.0,2009,61753,1
5,2004,2030.0,178832.0,2004,61790,1
6,2004,2050.0,178832.0,2004,61790,1
7,1990,2020.0,1700000.0,1990,62180,1
8,2008,2030.0,2100000.0,2008,54408,1
9,2012,2020.0,630000.0,2012,54425,2
10,2007,2020.0,2141272.0,2007,54498,1
11,2009,2020.0,800000.0,2009,1093,3
12,2008,2020.0,347987.0,2008,50679,4
13,1990,2027.0,6874000.0,1990,1850,1
14,2015,,,2015,58609,1
15,1990,2030.0,,1990,59151,1
16,2005,2020.0,1075590.0,2005,54521,1
17,2005,2020.0,2667000.0,2005,31052,1
18,1990,2020.0,3615000.0,1990,8242,1
19,1990,2030.0,3615000.0,1990,8242,1
20,1990,2020.0,747000.0,1990,54402,5
21,1990,2025.0,2388300.0,1990,54529,4
22,2002,2020.0,3887013.0,2002,36159,4
23,2004,2020.0,1300000.0,2004,46514,1
24,2007,2020.0,339990.0,2007,54459,1
25,2007,2050.0,339990.0,2007,54459,1
26,2013,2040.0,1107500.0,2013,50154,1
27,1990,2020.0,6988259.0,1990,54497,1
28,2010,2020.0,1237553.0,2010,46473,4
29,2005,2020.0,2288510.0,2005,36274,4
30,2010,2020.0,520715.0,2010,36261,1
31,2007,2020.0,1582605.13,2007,36286,1
32,2005,2020.0,2215759.0,2005,36262,4
33,2005,2020.0,1892158.0,2005,36494,1
34,2000,2050.0,,2000,54092,2
35,1990,2020.0,263270.0,1990,36495,2
36,2007,2020.0,1683317.65,2007,36263,1
37,2006,2020.0,692479.0,2006,36518,1
38,2006,2020.0,5054000.0,2006,31313,1
39,1990,2050.0,20727000.0,1990,35868,1
40,1990,2030.0,20727000.0,1990,35868,1
41,1990,2040.0,3668000.0,1990,3429,4
42,2010,2020.0,515593.0,2010,50681,1
43,2013,2020.0,3551302.0,2013,58424,1
44,2007,2020.0,499740.0,2007,59165,1
45,2006,2020.0,39873000.0,2006,31055,2
46,1990,2020.0,21200000.0,1990,35898,1
47,2012,2050.0,310000.0,2012,58489,1
48,2010,2020.0,182657.0,2010,58797,1
49,1990,2050.0,3955000.0,1990,54443,1
50,2008,2020.0,15177.0,2008,55442,1
51,2007,2015.0,180500.0,2007,58488,1
52,2007,2020.0,361000.0,2007,58488,1
53,2007,2029.0,722000.0,2007,58488,2
54,2000,2025.0,,2000,54092,2
55,2005,2020.0,,2005,35449,4
56,2005,2035.0,,2005,35449,2
57,2005,2050.0,,2005,35449,2
58,1991,2030.0,1200000.0,1991,14088,1
59,2013,2020.0,20232.0,2013,58537,1
60,2010,2020.0,,2010,50211,2
61,1990,2020.0,2499.0,1990,43930,4
62,1990,2040.0,2499.0,1990,43930,4
63,2006,2015.0,5700000.0,2006,35879,1
64,2009,2020.0,268064.0,2009,19233,1
65,2014,2016.0,467.45,2014,35755,1
66,2005,2020.0,585531.0,2005,54520,4
67,1990,2020.0,107940.0,1990,50792,2
68,,2020.0,,,60114,1
69,2005,2020.0,11527000.0,2005,31171,1
70,2011,2020.0,2367000.0,2011,31171,6
71,1990,2020.0,1108030.0,1990,31151,1
72,2008,2030.0,,2008,31151,1
