id,country_name,location
267,Denmark,"(56.26392, 9.501785)"
266,Italy,"(41.87194, 12.56738)"
244,Taiwan,"(23.69781, 120.960515)"
279,USA,"(37.09024, -95.712891)"
88,France,"(46.227638, 2.213749)"
74,Spain,"(40.463667, -3.74922)"
66,Portugal,"(39.399872, -8.224454)"
97,United Kingdom,"(55.378051, -3.435973)"
26,Iceland,"(64.963051, -19.020835)"
27,Finland,"(61.92411, 25.748151)"
91,Poland,"(51.919438, 19.145136)"
39,Ireland,"(53.41291, -8.24389)"
278,Germany,"(51.165691, 10.451526)"
89,Sweden,"(60.128161, 18.643501)"
76,Switzerland,"(46.818188, 8.227512)"
85,Norway,"(60.472024, 8.468946)"
62,Georgia,"(40.786168, -81.288192)"
78,Netherlands,"(52.132633, 5.291266)"
67,Turkey,"(38.963745, 35.243322)"
70,Monaco,"(43.738418, 7.424616)"
84,South Africa,"(-30.559482, 22.937506)"
276,Canada,"(56.130366, -106.346771)"
248,New Zealand,"(-40.900557, 174.885971)"
280,Japan,"(36.204824, 138.252924)"
245,South Korea,"(35.907757, 127.766922)"
249,Philippines,"(12.879721, 121.774017)"
230,Australia,"(-25.274398, 133.775136)"
213,Singapore,"(1.352083, 103.819836)"
250,Peru,"(-9.189967, -75.015152)"
265,Brazil,"(-14.235004, -51.92528)"
252,Mexico,"(23.634501, -102.552784)"
258,Bolivia,"(-16.290154, -63.588653)"
261,Argentina,"(-38.416097, -63.616672)"
262,Ecuador,"(-1.831239, -78.183406)"
272,Romania,"(45.943161, 24.96676)"
277,Russia,"(61.52401, 105.318756)"
281,Indonesia,"(-0.789275, 113.921327)"
282,Chile,"(-35.675147, -71.542969)"
283,Lithuania,"(55.169438, 23.881275)"
284,Ethiopia,"(9.145, 40.489673)"
285,Slovenia,"(46.151241, 14.995463)"
286,Colombia,"(4.570868, -74.297333)"
287,Hong Kong,"(22.396428, 114.109497)"
288,Venezuela,"(6.42375, -66.58973)"
289,Jordan,"(30.585164, 36.238414)"
290,Greece,"(39.074208, 21.824312)"
291,Nigeria,"(9.081999, 8.675277)"
292,Vietnam,"(14.058324, 108.277199)"
293,Malaysia,"(4.210484, 101.975766)"
294,Israel,"(31.046051, 34.851612)"
295,State of Palestine,"(31.9522, 35.2332)"
296,Bulgaria,"(42.697708, 23.321868)"
297,Albania,"(41.153332, 20.168331)"
298,Comoros,"(-11.6455, 43.3333)"
299,Gibraltar,"(36.140751, -5.353585)"
300,Thailand,"(15.870032, 100.992541)"
301,India,"(20.5937, 78.9629)"
302,Montenegro,"(42.708678, 19.37439)"
304,China,"(35.86166, 104.195397)"
305,Latvia,"(56.8796, 24.6032)"
306,Estonia,"(58.5953, 25.0136)"
307,Democratic Republic of Congo,"(-4.038333, 21.758664)"
