id,gdp,currency,city_id,gdp_year
1,120118000000.0,CAD     Canadian Dollar,35894,2014
2,87773000000.0,,35898,2013
3,10000000000.0,USD     US Dollar,54128,2014
4,235700000000.0,USD     US Dollar,35879,2014
5,15400000000.0,CAD     Canadian Dollar,50558,2014
6,8834000000.0,,54520,2014
7,108089000000.0,USD     US Dollar,43910,2014
8,68373000000000.0,KRW     South Korean Won,44182,2014
9,563188000000.0,,3203,2014
10,90600000000.0,AUD     Australian Dollar,31109,2015
11,70491000000.0,,49334,2014
12,94521.0,USD     US Dollar,10495,2014
13,1558520000000.0,USD     US Dollar,3417,2015
14,30041.0,,31185,2013
15,157300000000000.0,CAD     Canadian Dollar,31117,2013
16,84000000000.0,GBP     Pound Sterling,1850,2014
17,79400000000.0,BRL     Brazilian Real,31156,2013
18,2467976.0,USD     US Dollar,35858,2014
19,45969000000.0,CAD     Canadian Dollar,43912,2014
20,116378000000.0,USD     US Dollar,31090,2014
21,30864000000.0,CHF     Swiss Franc,31151,2012
22,117412136000000.0,IDR     Rupiah,54329,2014
23,8700000000.0,USD     US Dollar,50154,2012
24,103067100436.0,USD     US Dollar,35268,2015
25,4801000000.0,USD     US Dollar,54113,2010
26,81426708.0,BRL     Brazilian Real,35848,2013
27,524493000000.0,USD     US Dollar,31112,2015
28,530043000000.0,USD     US Dollar,56276,2014
29,125301713234.0,USD     US Dollar,31180,2013
30,37487000000.0,USD     US Dollar,54048,2014
31,13900000000.0,USD     US Dollar,58310,2014
32,43700000000000.0,USD     US Dollar,35853,2014
33,24080000000000.0,USD     US Dollar,50560,2013
34,8787850000.0,USD     US Dollar,50384,2013
35,7635000000.0,EUR     Euro,31165,2011
36,10837028.0,,35872,2011
37,171235.0,BRL     Brazilian Real,35995,2012
38,206817000000.0,USD     US Dollar,35884,2014
39,13231.0,EUR     Euro,50673,2013
40,5862.0,,36045,2014
41,50047000000.0,EUR     Euro,31148,2013
42,491550000000.0,USD     US Dollar,3422,2014
43,98746000000.0,USD     US Dollar,35860,2013
44,33793459000.0,EUR     Euro,46473,2015
45,3402000000.0,USD     US Dollar,58489,2012
46,49621.0,USD     US Dollar,54102,2013
47,899887.0,BRL     Brazilian Real,54650,2016
48,458449000000.0,NOK     Norwegian Krone,14088,2013
