id,population_amount,population_year,city_id
1,1886481,2011,35894
2,2762000,2014,35898
3,236995,2014,54128
4,407207,2014,35879
5,375000,2014,50558
6,140000,2015,54520
7,835957,2014,43910
8,550000,2015,50220
9,2983484,2015,44182
10,2719000,2013,3203
11,137889,2016,31109
12,320000,2016,54408
13,217853,2014,49334
14,621970,2016,10495
15,8491079,2014,3417
16,1626514,2016,31185
17,2753100,2011,31117
18,1101360,2014,1850
19,354300,2014,31052
20,1751907,2010,31156
21,3918830,2014,35858
22,878000,2014,43912
23,672228,2015,31090
24,1030720,2014,54329
25,186000,2015,50154
26,646000,2013,35268
27,68667,2013,54113
28,624000,2014,31179
29,2502557,2015,35848
30,2778729,2015,31112
31,3966818,2014,56276
32,0,2015,50364
33,7314176,2015,31180
34,529039,2010,54354
35,265000,2014,62180
36,149643,2014,54075
37,184281,2014,54048
38,98465,2013,58310
39,622793,2014,35853
40,431500,2015,50560
41,10075300,2015,31166
42,550000,2010,50384
43,144948,2014,31165
44,1555039,2012,35872
45,1409671,2015,35995
46,35371,2010,58628
47,542626,2015,36154
48,1400000,2016,35884
49,61214,2014,50673
50,2350915,2010,36045
51,8755262,2014,31170
52,822272,2015,31148
53,8600000,2015,3422
54,1257676,2013,35860
55,661108,2015,46473
56,50002,2016,58489
57,97856,2010,54102
58,272726,2015,54650
59,658390,2016,14088
60,263104,2016,36254
61,52346,2014,59669
62,109600,2011,60602
63,662400,2015,16581
64,10297138,2015,31187
65,8874724,2014,31172
66,612664,2014,8242
67,3384569,2008,31146
68,6476631,2015,31176
69,527612,2011,31313
70,238000,2015,54443
71,386181,2014,36274
72,47729,2011,55325
73,2704810,2015,31446
74,66955,2015,54119
75,404783,2014,35449
76,400000,2016,43928
77,443775,2013,1093
78,133155,2015,36286
79,603500,2011,20113
80,42284,2015,2430
81,4764381,2015,31115
82,65600,2010,59552
83,547773,2011,36159
84,78764,2011,50679
85,592995,2014,36262
86,850000,2014,43907
87,55310,2010,58485
88,287218,2015,43920
89,158911,2015,36263
90,1762791,2014,35868
91,3054267,2015,31155
92,191400,2015,54521
93,238954,2011,46514
94,13513734,2015,31111
95,7878783,2015,31154
96,824229,2015,50369
97,3200000,2016,49360
98,663862,2014,32550
99,591481,2015,31009
100,678889,2015,49335
101,2173141,2010,42123
102,102269,2014,36495
103,901989,2014,3429
104,66029,2011,55442
105,396815,2010,35859
106,644919,2015,50383
107,1203915,2015,35475
108,104810,2015,54104
109,718400,2015,50579
110,208122,2014,50680
111,205339,2015,31114
112,216700,2015,55799
113,864816,2015,31182
114,151190,2013,54070
115,1569900,2015,43932
116,519949,2011,50555
117,8334,2013,55616
118,319294,2010,35393
119,1350680,2014,31173
120,199766,2013,52893
121,122460,2015,54459
122,3518590,2015,31159
123,43985,2014,58621
124,120432,2016,54402
125,2274511,2015,35902
126,1191030,2015,49386
127,23169,2015,32480
128,416007,2012,44132
129,27450,2014,49787
130,688701,2013,35862
131,2265886,2015,31175
132,1221973,2015,44185
133,2114172,2016,54395
134,6200,2015,58609
135,60000,2016,62864
136,3928864,2014,10894
137,619360,2014,14874
138,3555868,2015,35863
139,0,2015,54610
140,389617,2015,13067
141,2369829,2015,36037
142,1400000,2012,43905
143,144355,2015,54085
144,11082,2013,60656
145,34399,2010,58357
146,26581,2015,58627
147,19375,2010,57616
148,92000,2014,54110
149,888204,2015,1184
150,78900,2014,58531
151,529845,2015,49338
152,705917,2015,55179
153,332458,2015,59996
154,3604459,2015,54337
155,4603,2015,59595
156,61752,2011,50672
157,79465,2011,19233
158,65308,2016,58610
159,458777,2014,61753
160,203800,2015,43937
161,158985,2015,54078
162,2902927,2014,42120
163,8427,2010,52897
164,250815,2015,54108
165,210891,2011,50578
166,840931,2016,57347
167,19750,2015,59612
168,99528,2013,36518
169,1409351,2010,35880
170,10570,2014,61790
171,333812,2013,54529
172,216,2016,35755
173,664046,2011,31149
174,66656,2014,59165
175,2195914,2013,31108
176,21000000,2016,31167
177,78698,2011,54088
178,2239191,2010,42178
179,1152115,2011,49363
180,8537673,2016,3417
181,131044,2015,59537
182,1959987,2013,35894
183,209102,2017,43937
184,1886033,2016,54386
185,210563,2010,49342
186,287027,2017,50541
187,187000,2016,50154
188,183887,2015,54046
189,2296224,2015,31108
190,354170,2016,59996
191,735600,2016,50579
192,3705490,2016,54337
193,853000,2015,43907
194,923516,2015,3429
195,38093,2017,59180
196,161000,2016,54066
197,66666,2014,35274
198,841490,2015,50375
199,1537058,2015,35874
200,57437,2014,58513
201,50655,2016,53254
202,381000,2015,50558
203,3800000,2013,31146
204,2750000,2016,54389
205,377635,2017,36285
206,44215,2015,58621
207,192672,2015,31177
208,2153521,2017,54395
209,265300,2016,50568
210,497883,2016,57509
211,864816,2016,31182
212,681170,2016,31090
213,209086,2017,69967
214,152589,2015,54075
215,2513451,2016,35848
216,3300000,2017,49360
217,602504,2016,31009
218,1578626,2015,50359
219,26915,2015,58590
220,82830,2016,53959
221,494013,2013,60318
222,29209,2011,58543
223,300353,2015,50572
224,893000,2015,43912
225,7992,2016,55616
226,274522,2016,54409
227,1945000,2016,54388
228,1235055,2016,35475
229,185291,2016,54048
230,136336,2015,31109
231,636000,2016,8242
232,702564,2016,46473
233,2695704,2016,31446
234,218,2017,35755
235,432900,2014,35885
236,4012441,2016,35858
237,7336600,2016,31169
238,1787408,2015,35868
239,830732,2010,50382
240,288307,2016,43920
241,178562,2014,49327
242,30000,2015,63616
243,325963,2011,58461
244,67347,2015,59165
245,1614400,2016,43932
246,165885,2016,54070
247,1047922,2015,54329
248,23615,2016,32480
249,1608746,2016,1499
250,154920,2015,55324
251,54206,2015,60392
252,5591589,2011,36036
253,631486,2016,20113
254,146333,2015,31165
255,64220,2015,59633
256,20675,2016,59160
257,1469845,2015,43905
258,669469,2015,35268
259,106779,2016,55801
260,40905,2017,60680
261,220400,2016,55799
262,88441,2015,59631
263,175826,2015,53921
264,391414,2016,36263
265,48210,2010,59545
266,79765,2015,60419
267,312722,2015,43926
268,410939,2015,35879
269,198206,2016,31151
270,200500,2016,54461
271,52898,2016,59669
272,5600000,2016,35993
273,220289,2015,49334
274,42000,2015,62855
275,3700000,2016,35863
276,158985,2016,54078
277,665822,2015,54356
278,3970644,2016,56276
279,49351,2015,50671
280,912791,2016,1184
281,4030904,2016,10894
282,61632,2015,58671
283,3059122,2016,31155
284,635759,2015,54497
285,161000,2015,54057
286,133358,2015,55415
287,60572,2015,64014
288,359555,2016,50392
289,378089,2010,54623
290,117770,2015,54092
291,61019,2015,50673
292,2644891,2017,36045
293,55541,2016,59158
294,119098,2017,54100
295,391495,2017,13067
296,33528,2015,50650
297,52831,2016,60433
298,550700,2015,50555
299,1555072,2015,31181
300,1625583,2016,35872
301,458117,2015,61753
302,122660,2016,58395
303,2720546,2015,3203
304,4900000,2016,31115
305,564077,2017,60374
306,892276,2015,35886
307,415682,2016,35449
308,682545,2015,32550
309,91732,2014,63999
310,652481,2016,50383
311,1560900,2015,50371
312,33729,2016,60273
313,834713,2016,31148
314,66478,2017,54119
315,505585,2010,54637
316,275207,2015,60387
317,439902,2015,54498
318,5696409,2015,31150
319,438549,2016,44132
320,18340,2016,59151
321,74000,2016,60588
322,84000,2016,58636
323,809958,2014,43914
324,15000000,2011,31157
325,247329,2016,60114
326,1890000,2015,54364
327,51320,2010,73295
328,484958,2016,50551
329,28549,2010,58530
330,7873,2012,14344
331,185937,2011,58569
332,5150,2014,73302
333,74003,2016,60603
334,122460,2016,54459
335,107571,2013,58511
336,0,0,58871
337,13000000,2016,51075
338,17721,2013,59563
339,114822,2010,50357
340,1359905,2015,31173
341,122955,2016,36484
342,59977,2016,36489
343,31630,2015,36252
344,210000,2017,36494
345,40112,2016,63543
346,60379,2015,60577
347,461489,2014,58424
348,2053757,2012,60394
349,0,0,50359
350,10204000,2016,31187
351,24709,2014,58797
352,438322,2017,70247
353,27317,2016,63542
354,328494,2017,43940
355,54656,2015,43975
356,147533,2015,59167
357,292878,2010,60416
358,44574,2016,60229
359,322128,2015,60002
360,182000,2011,55334
361,772695,2016,54347
362,580489,2015,50386
363,279856,2016,54650
364,645862,2016,58868
365,641423,2017,36426
366,58176,2012,58781
367,110644,2015,58537
368,150528,2011,60126
369,1113000,2016,50211
370,515739,2015,43930
371,5305,2010,59535
372,10000000,2017,36002
373,38400,2015,50792
374,4811,2011,69835
