id,Baseline_year,target_year,baseline_emissions,percentage_reduction_target,city_id,sector_id
1,2010,0,6136.0,2.0,58796,1
2,2005,2020,2913434.0,25.0,36158,1
3,2009,2020,268000.0,7.0,62855,1
4,2009,2020,3804493.0,35.0,61753,1
5,2004,2030,178832.0,40.0,61790,1
6,2004,2050,178832.0,80.0,61790,1
7,1990,2020,1700000.0,20.0,62180,1
8,2008,2030,2100000.0,100.0,54408,1
9,2012,2020,630000.0,20.0,54425,2
10,2007,2020,2141272.0,20.0,54498,1
11,2009,2020,800000.0,80.0,1093,3
12,2008,2020,347987.0,20.0,50679,4
13,1990,2027,6874000.0,60.0,1850,1
14,2015,0,,10.0,58609,1
15,1990,2030,,40.0,59151,1
16,2005,2020,1075590.0,30.0,54521,1
17,2005,2020,2667000.0,26.0,31052,1
18,1990,2020,3615000.0,30.0,8242,1
19,1990,2030,3615000.0,39.0,8242,1
20,1990,2020,747000.0,35.0,54402,5
21,1990,2025,2388300.0,50.0,54529,4
22,2002,2020,3887013.0,20.0,36159,4
23,2004,2020,1300000.0,45.0,46514,1
24,2007,2020,339990.0,35.0,54459,1
25,2007,2050,339990.0,73.0,54459,1
26,2013,2040,1107500.0,100.0,50154,1
27,1990,2020,6988259.0,21.0,54497,1
28,2010,2020,1237553.0,20.0,46473,4
29,2005,2020,2288510.0,21.0,36274,4
30,2010,2020,520715.0,23.0,36261,1
31,2007,2020,1582605.13,25.5,36286,1
32,2005,2020,2215759.0,23.0,36262,4
33,2005,2020,1892158.0,20.0,36494,1
34,2000,2050,,80.0,54092,2
35,1990,2020,263270.0,20.4,36495,2
36,2007,2020,1683317.65,23.9,36263,1
37,2006,2020,692479.0,20.0,36518,1
38,2006,2020,5054000.0,20.0,31313,1
39,1990,2050,20727000.0,80.0,35868,1
40,1990,2030,20727000.0,50.0,35868,1
41,1990,2040,3668000.0,100.0,3429,4
42,2010,2020,515593.0,20.0,50681,1
43,2013,2020,3551302.0,21.0,58424,1
44,2007,2020,499740.0,20.0,59165,1
45,2006,2020,39873000.0,30.0,31055,2
46,1990,2020,21200000.0,48.0,35898,1
47,2012,2050,310000.0,98.0,58489,1
48,2010,2020,182657.0,20.0,58797,1
49,1990,2050,3955000.0,95.0,54443,1
50,2008,2020,15177.0,20.0,55442,1
51,2007,2015,180500.0,25.0,58488,1
52,2007,2020,361000.0,50.0,58488,1
53,2007,2029,722000.0,100.0,58488,2
54,2000,2025,,25.0,54092,2
55,2005,2020,,28.0,35449,4
56,2005,2035,,55.0,35449,2
57,2005,2050,,82.0,35449,2
58,1991,2030,1200000.0,95.0,14088,1
59,2013,2020,20232.0,8.46,58537,1
60,2010,2020,,24.0,50211,2
61,1990,2020,2499.0,30.0,43930,4
62,1990,2040,2499.0,100.0,43930,4
63,2006,2015,5700000.0,15.0,35879,1
64,2009,2020,268064.0,29.0,19233,1
65,2014,2016,467.45,4.0,35755,1
66,2005,2020,585531.0,20.0,54520,4
67,1990,2020,107940.0,30.0,50792,2
